GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC03_EST_VC13,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC03_MOE_VC13,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC04_EST_VC13,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC04_MOE_VC13,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC01_EST_VC14,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years
HC01_MOE_VC14,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years
HC03_EST_VC14,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years"
HC03_MOE_VC14,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years"
HC04_EST_VC14,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years"
HC04_MOE_VC14,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years"
HC01_EST_VC15,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years
HC01_MOE_VC15,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years
HC03_EST_VC15,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years"
HC03_MOE_VC15,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years"
HC04_EST_VC15,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years"
HC04_MOE_VC15,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years"
HC01_EST_VC16,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over
HC01_MOE_VC16,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over
HC03_EST_VC16,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over"
HC03_MOE_VC16,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over"
HC04_EST_VC16,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over"
HC04_MOE_VC16,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over"
HC01_EST_VC17,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages
HC01_MOE_VC17,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages
HC03_EST_VC17,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC03_MOE_VC17,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC04_EST_VC17,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC04_MOE_VC17,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC01_EST_VC18,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years
HC01_MOE_VC18,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years
HC03_EST_VC18,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years"
HC03_MOE_VC18,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years"
HC04_EST_VC18,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years"
HC04_MOE_VC18,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years"
HC01_EST_VC19,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years
HC01_MOE_VC19,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years
HC03_EST_VC19,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years"
HC03_MOE_VC19,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years"
HC04_EST_VC19,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years"
HC04_MOE_VC19,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years"
HC01_EST_VC20,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over
HC01_MOE_VC20,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over
HC03_EST_VC20,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over"
HC03_MOE_VC20,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over"
HC04_EST_VC20,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over"
HC04_MOE_VC20,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over"
HC01_EST_VC21,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages
HC01_MOE_VC21,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages
HC03_EST_VC21,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC03_MOE_VC21,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC04_EST_VC21,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC04_MOE_VC21,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC01_EST_VC22,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years
HC01_MOE_VC22,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years
HC03_EST_VC22,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years"
HC03_MOE_VC22,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years"
HC04_EST_VC22,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years"
HC04_MOE_VC22,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years"
HC01_EST_VC23,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years
HC01_MOE_VC23,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years
HC03_EST_VC23,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years"
HC03_MOE_VC23,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years"
HC04_EST_VC23,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years"
HC04_MOE_VC23,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years"
HC01_EST_VC24,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over
HC01_MOE_VC24,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over
HC03_EST_VC24,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over"
HC03_MOE_VC24,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over"
HC04_EST_VC24,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over"
HC04_MOE_VC24,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over"
HC01_EST_VC26,Total; Estimate; Population 5 years and over - PERCENT IMPUTED - Language status
HC01_MOE_VC26,Total; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Language status
HC03_EST_VC26,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - PERCENT IMPUTED - Language status"
HC03_MOE_VC26,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Language status"
HC04_EST_VC26,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - PERCENT IMPUTED - Language status"
HC04_MOE_VC26,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Language status"
HC01_EST_VC27,Total; Estimate; Population 5 years and over - PERCENT IMPUTED - Language status (speak a language other than English)
HC01_MOE_VC27,Total; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Language status (speak a language other than English)
HC03_EST_VC27,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - PERCENT IMPUTED - Language status (speak a language other than English)"
HC03_MOE_VC27,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Language status (speak a language other than English)"
HC04_EST_VC27,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - PERCENT IMPUTED - Language status (speak a language other than English)"
HC04_MOE_VC27,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Language status (speak a language other than English)"
HC01_EST_VC28,Total; Estimate; Population 5 years and over - PERCENT IMPUTED - Ability to speak English
HC01_MOE_VC28,Total; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Ability to speak English
HC03_EST_VC28,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - PERCENT IMPUTED - Ability to speak English"
HC03_MOE_VC28,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Ability to speak English"
HC04_EST_VC28,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - PERCENT IMPUTED - Ability to speak English"
HC04_MOE_VC28,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - PERCENT IMPUTED - Ability to speak English"
